"Model Identifier","Model Name"
"312","PowerBook G3 (1st Series, Wallstreet)"
"313","PowerBook G3"
"314","PowerBook G3 (1st Series, Mainstreet)"
"406","PowerBook G3 (2nd Series)"
"510","Power Macintosh G3 (All-in-One) OR Power Macintosh G3 (Desktop) OR Power Macintosh G3 (Mini Tower)"
"ADP2,1","Developer Transition Kit"
"ADP3,1","Developer Transition Kit"
"ADP3,2","Developer Transition Kit"
"ATVRemote1,1","Siri Remote (1st generation)"
"ATVRemote1,2","Siri Remote (1st generation, Rev A)"
"ATVRemote1,3","Siri Remote (2nd generation)"
"ATVRemote1,4","Siri Remote (3rd generation)"
"AirPods1,1","AirPods (Left, 1st generation) OR AirPods (Right, 1st generation)"
"AirPods1,2","AirPods (Left, 2nd generation) OR AirPods (Right, 2nd generation)"
"AirPods1,3","AirPods (Left, 3rd generation) OR AirPods (Right, 3rd generation)"
"AirPods1,4","AirPods 4 (Left) OR AirPods 4 (Right) OR Charging Case for AirPods 4"
"AirPods1,5","AirPods 4 with Active Noise Cancellation (Left) OR AirPods 4 with Active Noise Cancellation (Right) OR Wireless Charging Case for AirPods 4 (ANC)"
"AirPods2,1","AirPods (Left, 2nd generation) OR AirPods (Right, 2nd generation)"
"AirPods2,2","AirPods Pro (Right, 1st generation) OR AirPods Pro (Left, 1st generation)"
"AirPods3,1","AirPods Pro (Right, 2nd generation) OR AirPods Pro (Left, 2nd generation) OR AirPods Pro (Left, 2nd generation) OR AirPods Pro (Right, 2nd generation) OR MagSafe Charging Case (USB-C) for AirPods Pro (2nd generation)"
"AirPods3,2","AirPods 4 (Left) OR AirPods 4 (Right) OR Charging Case for AirPods 4"
"AirPods3,3","AirPods 4 with Active Noise Cancellation (Left) OR AirPods 4 with Active Noise Cancellation (Right) OR Wireless Charging Case for AirPods 4 (ANC)"
"AirPodsMax1,1","AirPods Max"
"AirPodsMax1,2","AirPods Max with USB-C"
"AirPodsPro1,1","AirPods Pro (Right, 1st generation) OR AirPods Pro (Left, 1st generation)"
"AirPodsPro1,2","AirPods Pro (Right, 2nd generation) OR AirPods Pro (Left, 2nd generation) OR AirPods Pro (Left, 2nd generation) OR AirPods Pro (Right, 2nd generation) OR MagSafe Charging Case (USB-C) for AirPods Pro (2nd generation)"
"AirPort10,115","AirPort Express 802.11n (2nd generation)"
"AirPort4,102","AirPort Express 802.11g"
"AirPort4,107","AirPort Express 802.11n (1st generation)"
"AirPort5,104","AirPort Extreme (1st generation)"
"AirPort5,105","AirPort Extreme (2nd generation)"
"AirPort5,108","AirPort Extreme (3rd generation)"
"AirPort5,114","AirPort Extreme (4th generation)"
"AirPort5,117","AirPort Extreme (5th generation)"
"AirPort7,120","AirPort Extreme (6th generation)"
"AirTag1,1","AirTag"
"AppleDisplay2,1","Studio Display"
"AppleTV1,1","Apple TV (1st generation)"
"AppleTV11,1","Apple TV 4K (2nd generation)"
"AppleTV14,1","Apple TV 4K (3rd generation) Wi-Fi OR Apple TV 4K (3rd generation) Wi-Fi + Ethernet"
"AppleTV14,4","Unreleased Apple TV"
"AppleTV14,5","Unreleased Apple TV"
"AppleTV2,1","Apple TV (2nd generation)"
"AppleTV3,1","Apple TV (3rd generation)"
"AppleTV3,2","Apple TV (3rd generation, Rev A)"
"AppleTV5,3","Apple TV HD (4th generation)"
"AppleTV6,2","Apple TV 4K (1st generation)"
"Audio2,1","AirPods (Left, 3rd generation) OR AirPods (Right, 3rd generation)"
"Audio2,2","Beats Fit Pro Charging Case OR Beats Fit Pro (Left) OR Beats Fit Pro (Right)"
"AudioAccessory1,1","HomePod (1st generation)"
"AudioAccessory1,2","HomePod (1st generation, Unknown Model)"
"AudioAccessory5,1","HomePod mini (China Mainland) OR HomePod mini"
"AudioAccessory6,1","HomePod (2nd generation) (China Mainland) OR HomePod (2nd generation)"
"AudioAccessorySingle5,1","HomePod mini"
"BeatsFitPro1,1","Beats Fit Pro Charging Case OR Beats Fit Pro (Left) OR Beats Fit Pro (Right)"
"BeatsFlex1,1","Beats Flex"
"BeatsPill1,2","Beats Pill (3rd generation)"
"BeatsSolo3,1","Beats Solo³ Wireless LINE Friends Edition OR Beats Solo³ Wireless Mowalola Edition OR Beats Solo³ Wireless Mickey's 90th Anniversary Edition OR Beats Solo³ NAYVA Club Collection OR Beats Solo³ Wireless New Year Special Edition OR Beats Solo³ Wireless Third Man Records Edition OR Beats Solo³ Wireless"
"BeatsSolo4,1","Beats Solo 4 Minecraft Edition OR Beats Solo 4 Sandy Liang Edition OR Beats Solo 4"
"BeatsSoloBuds1,1","Beats Solo Buds Charging Case OR Beats Solo Buds (Left) OR Beats Solo Buds (Right)"
"BeatsSoloPro1,1","Beats Solo Pro Eastside Golf Edition OR Beats Solo Pro Verdy Edition OR Beats Solo Pro"
