"Created by Xeno Kovah","Copyright(c) © Dark Mentor LLC 2023-2024"
"Tesla Model 3/Y","^S[0-9a-f]{16}C$"
"Tesla Model S","^Tesla Model S.*"
"Tesla Model X","^Tesla Model X.*"
"Tesla Keyfob","^Tesla Keyfob$"
"Rivian Truck","^Rivian Sensor [1-4]$"
"Rivian Phone Key","^Rivian Phone Key$"
"Rivian Camp Speaker","^Rivian Camp Speaker$"
"TOYOTA 4Runner","^TOYOTA 4Runner$"
"TOYOTA Camry","^TOYOTA Camry$"
"TOYOTA Corolla","^TOYOTA Corolla$"
"TOYOTA Highlander","^TOYOTA Highlander$"
"TOYOTA Rav 4","^TOYOTA Rav 4$"
"TOYOTA RAV4","^TOYOTA RAV4$"
"TOYOTA SIENNA","^TOYOTA SIENNA$"
"Audi Multi Media Interface","^Audi MMI [0-9]{4}$"
"Audi Multi Media Interface (not sure why the minority uses underscores instead of spaces)","^Audi_MMI_[0-9]{4}$"
"Polestar2 car (https://www.polestar.com/us/polestar-2/)","^Polestar2$"
"Porsche Bluetooth","^Porsche BT [0-9]{4}$"
"General Motors passive-entry-passive-start (PEPS) system (made by ALPSALPINE CO,.LTD based on BDADDR, GM confirmed by UUID16)","^GM_PEPS_VKM$"
"General Motors passive-entry-passive-start (PEPS) system (made by ALPSALPINE CO,.LTD based on BDADDR, GM confirmed by UUID16)","^GM_PEPS_VKM[1234]$"
"Volkswagon in-vehicle bluetooth","VW BT [0-9]{4}$"
"Panasonic TW370 Body-Worn Camera (https://fcc.report/FCC-ID/ACJ9TAWV-TW370/3274793.pdf)","^TW370_[A-Z]{3}[0-9]{5}$"
"Panasonic BCW4000 Body-Worn Camera (https://fcc.report/FCC-ID/ACJ9TAWV-BWC4000/4920176.pdf)","^BWC4000_[A-Z]{3}[0-9]{5}$"
"Apple Pencil stylus","^Apple Pencil$"
"Apple iPhone",".*iPhone.*"
"Apple iPad",".*iPad.*"
"Apple iMac",".*iMac.*"
"Apple MacBook, MacBook Pro, or MacBook Air",".*MacBook.*"
"Square Reader","^Square Reader [0-9]{4}$"
"ThermoWorks ThermaPen Blue wireless food thermometer (https://www.thermoworks.com/thermapen-blue/)",^[0-9]{8} ThermapenBlue$"
"Carel BT gateway for HVAC systems (https://www.carel.com/gateway-wireless/-/journal_content/56_INSTANCE_i4q5KIMLInKK/10191/1005572)","^CAREL_[A-F0-9]{10}$"
"HUAWEI Various models of watches","^HUAWEI WATCH (3|3 Pro|GT|GT-2e)-[A-F0-9]{3}$"
"HUAWEI Various models of bands","^HUAWEI Band(| 2| 3e| 4| 4 Pro)-[A-F0-9]{3}$"
"Furbo 360 degree dog camera (https://www.amazon.com/Furbo-Camera-with-360%C2%B0-View/dp/B09GDQZLD1)","^Furbo3-S3$"
"Philips Sonicare electric toothbrush (https://www.usa.philips.com/c-m-pe/dental-professionals/products/tooth-brushes/flexcare-platinum-connected)","^Philips Sonicare$"
"Casambi lighting controller (https://casambi.com/ecosystem/)","^Oseris$"
"PayRange bluetooth-based vending payment system (https://support.payrange.com/hc/en-us/articles/360029485731-How-it-Works)","^PayRange$"
"PayRange bluetooth-based vending payment system (https://support.payrange.com/hc/en-us/articles/360029485731-How-it-Works)","^BluKeyPayRange$"
"BlueRadios (https://blueradios.com/) module that has likely not been initialized by the BlueRadios customer (e.g. used on PayRange)","^BlueRadios[A-F0-9]{6}$
"ScentAir diffusers (https://scentair.com/scent-diffusers.html)","^ScentAir$"
"IGT Magstripe / RFID Card Reader (IGT is a casino equipment provider - https://store.igt.com/32916691)","^IGT Card Reader$"
"Samsung Gear Fit2","^Gear Fit2 \\\([A-Z0-9]{4}\\\)$"
"Samsung Gear Fit2 Pro","^Gear Fit2 Pro \\\([A-Z0-9]{4}\\\)$"
"Samsung Gear S2 LE","^Gear S2 \\\([A-Z0-9]{4}\\\) LE$"
"Samsung Gear S3 LE","^Gear S3 \\\([A-Z0-9]{4}\\\) LE$"
"Samsung Gear Sport LE","^Gear Sport \\\([A-Z0-9]{4}\\\) LE$"
"Samsung Galaxy A10e Phone","^Galaxy A10e$"
"Samsung Galaxy A11 Phone","^Galaxy A11$"
"Samsung Galaxy A12 Phone","^Galaxy A12$"
"Samsung Galaxy A21 Phone","^Galaxy A21$"
"Samsung Galaxy A30 Phone","^Galaxy A30$"
"Samsung Galaxy A32 Phone","^Galaxy A32$"
"Samsung Galaxy A40 Phone","^Galaxy A40$"
"Samsung Galaxy Buds Headphones","^Galaxy Buds \\\([A-F0-9]{4}\\\)$"
"Samsung Galaxy Buds Live Headphones","^Galaxy Buds Live \\\([A-F0-9]{4}\\\)$"
"Samsung Galaxy Buds Pro Headphones","^Galaxy Buds Pro \\\([A-F0-9]{4}\\\)$"
"Samsung Galaxy Buds+ Headphones","^Galaxy Buds\\+ \\\([A-F0-9]{4}\\\)$"
"Samsung Galaxy J2 Phone","^Galaxy J2$"
"Samsung Galaxy J5 Phone","^Galaxy J5$"
"Samsung Galaxy J6 Phone","^Galaxy J6$"
