"Created by Xeno Kovah","Copyright(c) © Dark Mentor LLC 2023-2024"
"'Segway Ninebot ZK601LE is an loT device for shared scooter management' (https://flespi.com/devices/segway-ninebot-zk601le)","^Segway IoT$"
"ActiveLook PONTUS21 smart glasses ()","^PONTUS21$"
"Amazon (based on BT CID) unknown device. Most likely a Ring camera","^rnet$"
"Apple Pencil stylus","^Apple Pencil$"
"Behringer Flow 8 digital mixer (https://web.archive.org/web/20250708082324/https://www.behringer.com/product.html?modelCode=0603-AEW)","^FLOW 8 LE$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_1","^LE-reserved_1$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_B","^LE-reserved_B$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_C","^LE-reserved_C$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_D","^LE-reserved_D$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_E","^LE-reserved_E$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_F","^LE-reserved_F$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_G","^LE-reserved_G$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_H","^LE-reserved_H$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_I","^LE-reserved_I$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_j","^LE-reserved_j$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_K","^LE-reserved_K$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_L","^LE-reserved_L$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_M","^LE-reserved_M$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_N","^LE-reserved_N$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_O","^LE-reserved_O$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_P","^LE-reserved_P$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_Q","^LE-reserved_Q$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_S","^LE-reserved_S$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_T","^LE-reserved_T$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_U","^LE-reserved_U$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_V","^LE-reserved_V$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_W","^LE-reserved_W$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_X","^LE-reserved_X$"
"Bose (confirmed by UUID16 & BDADDR) unknown model LE-reserved_Y","^LE-reserved_Y$"
